"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
2,"Default",0,"agutlicense.cpp",172,04/10/2018 15:46:57,"OMEN-LAPTOP","OMEN","AMMv11.3 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,04/10/2018 15:46:57,"OMEN-LAPTOP","OMEN","STKProfessionalv11.3 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,04/10/2018 15:46:57,"OMEN-LAPTOP","OMEN","COVv11.3 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,04/10/2018 15:46:58,"OMEN-LAPTOP","OMEN","CATv11.3 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,04/10/2018 15:46:58,"OMEN-LAPTOP","OMEN","AnalysisWBv11.3 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,04/10/2018 15:46:58,"OMEN-LAPTOP","OMEN","Commv11.3 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,04/10/2018 15:46:58,"OMEN-LAPTOP","OMEN","Radarv11.3 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,04/10/2018 15:46:58,"OMEN-LAPTOP","OMEN","ASTGv11.3 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,04/10/2018 15:46:58,"OMEN-LAPTOP","OMEN","SatProv11.3 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,04/10/2018 15:46:58,"OMEN-LAPTOP","OMEN","STKIntegrationv11.3 - 0 day remaining until license expires."
2,"Default",0,"agutlicense.cpp",172,04/10/2018 15:46:58,"OMEN-LAPTOP","OMEN","SEETv11.3 - 0 day remaining until license expires."
3,"MsgWnd",0,"",0,04/10/2018 15:47:08,"OMEN-LAPTOP","OMEN","No valid 64 bit Matlab automation server is available.  Please run matlab /regserver as administrator or see Mathworks online help."
2,"Default",0,"agaprmtmsg.cpp",1405,04/10/2018 15:47:09,"OMEN-LAPTOP","OMEN","STK/CON: Initializing STK/CON module."
2,"Default",0,"agaprmtmsg.cpp",1620,04/10/2018 15:47:09,"OMEN-LAPTOP","OMEN","STK/CON: Accepting connection requests"
2,"Default",0,"agutlicense.cpp",172,04/10/2018 15:47:12,"OMEN-LAPTOP","OMEN","Commv11.2 - 0 day remaining until license expires."
